image,0,1,2,3,4,5,6,7,8,9
query001.png,Car,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Crosswalk
query002.png,Bus,Crosswalk,Bus,Bus,Bus,Palm,Traffic Light,Bus,Traffic Light,Traffic Light
query003.png,Bicycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Motorcycle,Bicycle,Motorcycle,Motorcycle,Motorcycle
query004.png,Chimney,Chimney,Chimney,Palm,Palm,Chimney,Chimney,Traffic Light,Chimney,Chimney
query005.png,Chimney,Hydrant,Hydrant,Hydrant,Bridge,Bridge,Car,Car,Palm,Bridge
query006.png,Crosswalk,Crosswalk,Bridge,Crosswalk,Crosswalk,Crosswalk,Crosswalk,Bridge,Crosswalk,Crosswalk
query007.png,Car,Bridge,Car,Bridge,Car,Bus,Bridge,Bridge,Bus,Bus
query008.png,Bus,Traffic Light,Car,Crosswalk,Crosswalk,Bridge,Car,Bus,Car,Car
query009.png,Palm,Chimney,Palm,Motorcycle,Hydrant,Traffic Light,Motorcycle,Motorcycle,Motorcycle,Motorcycle
query010.png,Traffic Light,Traffic Light,Hydrant,Traffic Light,Hydrant,Bicycle,Car,Hydrant,Hydrant,Bicycle
query011.png,Traffic Light,Palm,Traffic Light,Traffic Light,Palm,Traffic Light,Traffic Light,Palm,Traffic Light,Motorcycle
query012.png,Chimney,Chimney,Chimney,Chimney,Chimney,Chimney,Hydrant,Chimney,Chimney,Palm
query013.png,Hydrant,Hydrant,Chimney,Car,Hydrant,Bridge,Car,Bridge,Crosswalk,Crosswalk
query014.png,Car,Bridge,Bridge,Bridge,Car,Crosswalk,Bridge,Bridge,Bridge,Bus
query015.png,Motorcycle,Motorcycle,Traffic Light,Palm,Hydrant,Palm,Hydrant,Car,Motorcycle,Car
query016.png,Car,Car,Car,Bus,Bus,Bus,Bus,Crosswalk,Hydrant,Bus
query017.png,Bicycle,Motorcycle,Bicycle,Bicycle,Bicycle,Bicycle,Bicycle,Palm,Bicycle,Bicycle
query018.png,Palm,Palm,Bicycle,Palm,Bus,Hydrant,Crosswalk,Palm,Bridge,Bus
query019.png,Motorcycle,Hydrant,Hydrant,Car,Motorcycle,Palm,Hydrant,Motorcycle,Bicycle,Car
query020.png,Chimney,Chimney,Palm,Chimney,Palm,Chimney,Chimney,Hydrant,Chimney,Traffic Light
query021.png,Palm,Hydrant,Hydrant,Hydrant,Palm,Traffic Light,Palm,Hydrant,Palm,Hydrant
query022.png,Bus,Motorcycle,Bus,Bridge,Motorcycle,Bicycle,Bus,Car,Bicycle,Bicycle
query023.png,Hydrant,Palm,Motorcycle,Palm,Hydrant,Palm,Chimney,Palm,Motorcycle,Palm
query024.png,Traffic Light,Traffic Light,Motorcycle,Palm,Traffic Light,Palm,Bicycle,Traffic Light,Palm,Motorcycle
query025.png,Motorcycle,Bicycle,Palm,Hydrant,Palm,Palm,Motorcycle,Palm,Bicycle,Motorcycle
query026.png,Bus,Car,Car,Car,Chimney,Hydrant,Bridge,Bus,Chimney,Bus
query027.png,Car,Bridge,Bridge,Car,Bridge,Crosswalk,Crosswalk,Crosswalk,Car,Car
query028.png,Traffic Light,Traffic Light,Palm,Traffic Light,Bicycle,Palm,Palm,Palm,Traffic Light,Hydrant
query029.png,Bus,Bus,Bicycle,Bridge,Palm,Motorcycle,Bridge,Bridge,Bicycle,Motorcycle
query030.png,Bus,Crosswalk,Car,Bridge,Bridge,Crosswalk,Car,Bus,Car,Bridge
query031.png,Bus,Bus,Car,Car,Car,Bridge,Bus,Car,Bus,Car
query032.png,Bicycle,Hydrant,Motorcycle,Palm,Hydrant,Hydrant,Bicycle,Hydrant,Traffic Light,Palm
query033.png,Traffic Light,Traffic Light,Bicycle,Hydrant,Chimney,Bus,Car,Bus,Bicycle,Car
